publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	language	title_alternative	title_transcription	ncid	ndl_callno	jstage_code	ichushi_code	deleted
東京学芸大学紀要 総合教育科学系	1880-4306		2006						https://ir.u-gakugei.ac.jp/handle/2309/1411		6996		Fulltext		東京学芸大学	Serial								F	jpn			AA12117441				
東京学芸大学大学史資料室報			2014-03-31	1					http://www.u-gakugei.ac.jp/shiryoshitsu/newsletter/		12192		Fulltext			Serial									jpn		トウキョウ ガクゲイ ダイガク ダイガクシ シリョウシツホウ					
東京学芸大学紀要．第6部門，産業技術・家政	0387-8953		1971			1991			https://ir.u-gakugei.ac.jp/handle/2309/3047		7006		Fulltext		東京学芸大学	Serial								F	jpn		トウキョウ ガクゲイ ダイガク キヨウ ダイ 6 ブモン サンギョウ ギジュツ カセイ	AN00158261	Z14-268			
Leo	0917-0839		1989			2007			https://ir.u-gakugei.ac.jp/handle/2309/3101		6952		Fulltext		東京学芸大学大学院英語研究会	Serial								F	eng			AN00343219				
教員研修留学生プログラム報告			1997			2002			https://ir.u-gakugei.ac.jp/handle/2309/3095		6968		Fulltext		東京学芸大学	Serial								F	jpn			BN05262677				
国際教育評論	1348-4486		2006			2006			https://ir.u-gakugei.ac.jp/handle/2309/3095//simple-search?query=%28default%3A%E5%9B%BD%E9%9A%9B%E6%95%99%E8%82%B2%E8%A9%95%E8%AB%96%29&searchfieldname=collection&index_all=default&field_all=%E5%9B%BD%E9%9A%9B%E6%95%99%E8%82%B2%E8%A9%95%E8%AB%96		6985		Fulltext		東京学芸大学	Serial								F	jpn			AA11859663				
東京学芸大学紀要 第5部門 芸術・健康・スポーツ科学	1341-1691		1992			2004			https://ir.u-gakugei.ac.jp/handle/2309/2757		7001		Fulltext		東京学芸大学	Serial								F	jpn			AN10404761	Z11-284			
特殊教育研究施設報告	0386-3271		2003			2004			http://www.u-gakugei.ac.jp/~crsep/rieec/AR/		7017		Fulltext		東京学芸大学	Serial								F	jpn			AN00158396	Z7-681			
学芸国語国文学	0387-9135		1975			2007			http://ir.u-gakugei.ac.jp/handle/2309/43014		6957		Fulltext		東京学芸大学国語国文学会	Serial								F	jpn			AN00038667	Z13-1136			
研究紀要	0912-9510		1991			1995			https://ir.u-gakugei.ac.jp/handle/2309/3072		6973		Fulltext		東京学芸大学附属小金井中学校 	Serial								F	jpn			AN00158501				
地理学会誌	0911-2685		1954			1956			http://ir.u-gakugei.ac.jp/handle/2309/117120		6990		Fulltext		東京学芸大学地理学会	Serial								F	jpn			AN00148100				
学芸地理	0911-2693		1999			2004			https://ir.u-gakugei.ac.jp/handle/2309/38596		6958		Fulltext		東京学芸大学地理学会	Serial								F	jpn			AN00038703	Z8-708			
研究紀要			2003			2003			https://ir.u-gakugei.ac.jp/handle/2309/3084		6974		Fulltext		東京学芸大学附属幼稚園	Serial								F	jpn			AN1041942X				
東京学芸大学海外子女教育センター研究紀要	0287-4008		1982			2001			http://ir.u-gakugei.ac.jp/simple-search?query=02874008		6991		Fulltext		東京学芸大学海外子女教育センター	Serial								F	jpn			AN00398786	Z7-1460			
東京学芸大学教育学部附属教育実践総合センター研究紀要	1345-7411		1998			2004			http://ir.u-gakugei.ac.jp/handle/2309/3089		7007		Fulltext		東京学芸大学	Serial								F	jpn			AA11312000	Z7-3419			
環境教育学研究 : 東京学芸大学環境教育実践施設研究報告	1344-6444		1998			2006			https://ir.u-gakugei.ac.jp/handle/2309/3091		6962		Fulltext		東京学芸大学附属環境教育実践施設	Serial								F	jpn			AA11451969	Z7-2892			
研究紀要	1343-1579		1992			2003			https://ir.u-gakugei.ac.jp/handle/2309/3079		6978		Fulltext		東京学芸大学教育学部附属竹早小学校・幼稚園	Serial								F	jpn			AN00158567				
東京学芸大学教育学部附属小金井小学校研究紀要	0912-3091		1991			1995			https://ir.u-gakugei.ac.jp/handle/2309/3070		7011		Fulltext		東京学芸大学	Serial								F	jpn			AA11547955				
教育研究 : 東京学芸大学附属世田谷中学校研究年報			2006			2007			https://ir.u-gakugei.ac.jp/handle/2309/3066		6963		Fulltext		東京学芸大学附属世田谷中学校 	Serial								F	jpn			AA12255489				
研究紀要			1988			2005			https://ir.u-gakugei.ac.jp/handle/2309/3082		6979		Fulltext		東京学芸大学教育学部附属竹早中学校	Serial								F	jpn			AN00185286				
東京学芸大学附属小金井小学校紀要	0912-3091		1997			2003			https://ir.u-gakugei.ac.jp/handle/2309/3070		7012		Fulltext		東京学芸大学	Serial								F	jpn			AN00158487				
教育と研究			2001			2004			https://ir.u-gakugei.ac.jp/handle/2309/3066		6966		Fulltext		東京学芸大学教育学部附属世田谷中学校 	Serial								F	jpn			AA11553561				
言語学論叢		1882-6601	2008			2008			http://www.lingua.tsukuba.ac.jp/~ippan/TWPL0/contents.html		6983		Fulltext		東京教育大学言語学研究会	Serial								F	jpn				Z12-69			
東京学芸大学紀要 第3部門 社会科学	0387-8937		1966			2005			https://ir.u-gakugei.ac.jp/handle/2309/2756		6999		Fulltext		東京学芸大学	Serial								F	jpn			AN00158228	Z22-390			
時の扉 : 東京学芸大学大学院伝承文学研究レポート			1998			2005			https://ir.u-gakugei.ac.jp/handle/2309/3101		7015		Fulltext		東京学芸大学	Serial								F	jpn			AA12058604				
Beitrage zur Germanistik. Festschrift			1971			1993			https://ir.u-gakugei.ac.jp/handle/2309/38239		6951		Fulltext		Tokyo-Gakugeidaigaku	Serial								F	eng			AN10176259				
教育学研究年報	0911-9663		1982			2006			https://ir.u-gakugei.ac.jp/handle/2309/3049		6967		Fulltext		東京学芸大学教育学講座学校教育学分野・生涯教育学分野	Serial								F	jpn			AN10041329	Z7-1828			
国際教育研究	0389-3189		1982			2006			https://ir.u-gakugei.ac.jp/handle/2309/3095		6984		Fulltext		東京学芸大学国際教育センター国際教育研究室	Serial								F	jpn			AN00332223	Z7-1238			
